myoclonic epilepsy	CUI=C0014550	PREF=Myoclonic Epilepsy	TUI=T047	STY=Disease or Syndrome
seizures, auditory	CUI=C0422852	PREF=Seizures, Auditory	TUI=T046	STY=Pathologic Function	
olfactory seizure (disorder)	CUI=C0422853	PREF= Olfactory seizure	TUI=T047	STY=Disease or Syndrome	
olfactory seizure (finding)	CUI=C0422853	PREF= Olfactory seizure	TUI=T047	STY=Disease or Syndrome	
olfactory seizures	CUI=C0422853	PREF= Olfactory seizure	TUI=T047	STY=Disease or Syndrome	
olfactory uncinate fit	CUI=C0422853	PREF= Olfactory seizure	TUI=T047	STY=Disease or Syndrome	
seizure, olfactory	CUI=C0422853	PREF= Olfactory seizure	TUI=T047	STY=Disease or Syndrome	
seizures, olfactory	CUI=C0422853	PREF= Olfactory seizure	TUI=T047	STY=Disease or Syndrome	
epileptic vertigo	CUI=C0422855	PREF=Vertiginous seizure	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epileptic vertigo (disorder)	CUI=C0422855	PREF=Vertiginous seizure	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Focal sensory vestibular seizure	CUI=C0422855	PREF=Vertiginous seizure	TUI=T047	STY=Disease or Syndrome	
seizure, vertiginous	CUI=C0422855	PREF=Vertiginous seizure	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
seizure, vestibular	CUI=C0422855	PREF=Vertiginous seizure	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
seizures, vertiginous	CUI=C0422855	PREF=Vertiginous seizure	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
seizures, vestibular	CUI=C0422855	PREF=Vertiginous seizure	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
vertiginous epilepsy	CUI=C0422855	PREF=Vertiginous seizure	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
vertiginous seizure (disorder)	CUI=C0422855	PREF=Vertiginous seizure	TUI=T047	STY=Disease or Syndrome	
vertiginous seizure (finding)	CUI=C0422855	PREF=Vertiginous seizure	TUI=T047	STY=Disease or Syndrome	
vertiginous seizures	CUI=C0422855	PREF=Vertiginous seizure	TUI=T047	STY=Disease or Syndrome	
vestibular seizure	CUI=C0422855	PREF=Vertiginous seizure	TUI=T047	STY=Disease or Syndrome	
vestibular seizures	CUI=C0422855	PREF=Vertiginous seizure	TUI=T047	STY=Disease or Syndrome	
Versive Seizures	CUI=C0422846	PREF=Versive Seizures	TUI=T047	STY=Disease or Syndrome	
absence seizure with impairment of consciousness only	CUI=C0422870	PREF=Absence seizure with impairment of consciousness only	TUI=T033	STY=Finding	
absence seizure with impairment of consciousness only (disorder)	CUI=C0422870	PREF=Absence seizure with impairment of consciousness only	TUI=T033	STY=Finding	
absence seizure with mild clonic components	CUI=C0422871	PREF=Absence seizure with mild clonic components	TUI=T033	STY=Finding	
absence seizure with mild clonic components (disorder)	CUI=C0422871	PREF=Absence seizure with mild clonic components	TUI=T033	STY=Finding	
absence seizure with atonic components	CUI=C0422872	PREF=Absence seizure with atonic components	TUI=T046	STY=Pathologic Function	
absence seizure with atonic components (disorder)	CUI=C0422872	PREF=Absence seizure with atonic components	TUI=T046	STY=Pathologic Function	
absences, atonic	CUI=C0422872	PREF=Absence seizure with atonic components	TUI=T046	STY=Pathologic Function	
absence seiz, tonic components	CUI=C0422873	PREF=Absence seizure with tonic components	TUI=T033	STY=Finding	
absence seizure with tonic components	CUI=C0422873	PREF=Absence seizure with tonic components	TUI=T033	STY=Finding	
absence seizure with tonic components (disorder)	CUI=C0422873	PREF=Absence seizure with tonic components	TUI=T033	STY=Finding	
absence seizure with automatisms	CUI=C0422874	PREF=Absence seizure with automatisms	TUI=T033	STY=Finding	
absence seizure with automatisms (disorder)	CUI=C0422874	PREF=Absence seizure with automatisms	TUI=T033	STY=Finding	
absence seizure, automatisms	CUI=C0422874	PREF=Absence seizure with automatisms	TUI=T033	STY=Finding	
absence seiz,autonom component	CUI=C0422875	PREF=absence seiz,autonom component	TUI=T033	STY=Finding	
absence seizure with autonomic components	CUI=C0422875	PREF=Absence seizure with autonomic components	TUI=T033	STY=Finding	
absence seizure with autonomic components (disorder)	CUI=C0422875	PREF=Absence seizure with autonomic components	TUI=T033	STY=Finding	
Myoclonic Encephalopathies	CUI=C0438414	PREF=Myoclonic Encephalopathy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Myoclonic Encephalopathy	CUI=C0438414	PREF=Myoclonic Encephalopathy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
visual reflex epilepsy	CUI=C0438418	PREF=Visual reflex epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
visual reflex epilepsy (disorder)	CUI=C0438418	PREF=Visual reflex epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
unilateral epilepsy	CUI=C0438419	PREF=Unilateral epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
unilateral epilepsy (disorder)	CUI=C0438419	PREF=Unilateral epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
unilateral epilepsy (situation)	CUI=C0438419	PREF=Unilateral epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localisation-related idiopathic epilepsy	CUI=C0472348	PREF=Localization-related idiopathic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localis-relatd idiopath epilep	CUI=C0472348	PREF=Localization-related idiopathic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localization-related idiopathic epilepsy	CUI=C0472348	PREF=Localization-related idiopathic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localization-related idiopathic epilepsy (disorder)	CUI=C0472348	PREF=Localization-related idiopathic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
lesional epilepsy	CUI=C0472349	PREF=Localization-related symptomatic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localisation based symptomatic epilepsy	CUI=C0472349	PREF=Localization-related symptomatic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localisation-related symptomatic epilepsy	CUI=C0472349	PREF=Localization-related symptomatic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localis-relat symptom epilepsy	CUI=C0472349	PREF=Localization-related symptomatic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
symptomatic focal epilepsy	CUI=C0472349	PREF=Localization-related symptomatic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
symptomatic structural focal epilepsy	CUI=C0472349	PREF=Localization-related symptomatic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
cryptogenic general epilepsy	CUI=C0472354	PREF=cryptogenic general epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
cryptogenic generalised epilepsy	CUI=C0472354	PREF=cryptogenic generalised epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
cryptogenic generalized epilepsy	CUI=C0472354	PREF=cryptogenic generalized epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
cryptogenic generalized epilepsy disorder	CUI=C0472354	PREF=cryptogenic generalized epilepsy (disorder)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy undeterm focal/gener	CUI=C0472355	PREF=epilepsy undetermined whether focal or generalised	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy undetermined whether focal or generalised	CUI=C0472355	PREF=epilepsy undetermined whether focal or generalised	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy undetermined whether focal or generalized	CUI=C0472355	PREF=epilepsy undetermined whether focal or generalized	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy undetermined whether focal or generalized (disorder)	CUI=C0472355	PREF=epilepsy undetermined whether focal or generalized (disorder)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
focal seizures with secondary generalisation	CUI=C0474327	PREF=partial seizure evolving to secondary generalised seizure	TUI=T046	STY=Pathologic Function	Epilepsy=Yes
part seiz evolv 2ry gen seiz	CUI=C0474327	PREF=part seiz evolv 2ry gen seiz	TUI=T046	STY=Pathologic Function	
partial seizure evolving to  generalized seizure	CUI=C0474327	PREF=partial seizure evolving to secondary generalized seizure	TUI=T046	STY=Pathologic Function	
partial seizure evolving to secondary generalised seizure	CUI=C0474327	PREF=partial seizure evolving to secondary generalised seizure	TUI=T046	STY=Pathologic Function	
partial seizure evolving to secondary generalised seizure	CUI=C0474327	PREF=Partial seizure evolving to secondary generalised seizure	TUI=T046	STY=Pathologic Function	
partial seizure evolving to secondary generalized seizure (disorder)	CUI=C0474327	PREF=partial seizure evolving to secondary generalized seizure (disorder)	TUI=T046	STY=Pathologic Function	
partial seizure evolving to secondary generalized seizure (finding)	CUI=C0474327	PREF=partial seizure evolving to secondary generalized seizure (finding)	TUI=T046	STY=Pathologic Function	
localisation related idiopathic epilepsy and epileptic syndromes with seizures of localized onset	CUI=C0475521	PREF=localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localisation-related idiopathic epilepsy and epileptic syndromes with seizures of localized onset nos	CUI=C0475521	PREF=localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset nos	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localised onset	CUI=C0475521	PREF=localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localised onset	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localized onset	CUI=C0475521	PREF=localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localized onset	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localized onset (disorder)	CUI=C0475521	PREF=localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localized onset (disorder)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
other generalized epilepsy and epileptic syndromes	CUI=C0477370	PREF=other generalized epilepsy and epileptic syndromes	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
other generalized epilepsy and epileptic syndromes nos	CUI=C0477370	PREF=other generalized epilepsy and epileptic syndromes nos	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
other epilepsy	CUI=C0477371	PREF=other epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
other forms of epilepsy	CUI=C0477371	PREF=other forms of epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
other forms of epilepsy (disorder)	CUI=C0477371	PREF=other forms of epilepsy (disorder)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
other forms of epilepsy nos	CUI=C0477371	PREF=other forms of epilepsy nos	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
other forms of epilepsy nos (disorder)	CUI=C0477371	PREF=other forms of epilepsy nos (disorder)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
other status epilepticus	CUI=C0477372	PREF=other status epilepticus	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures	CUI=C0494471	PREF=localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures nos	CUI=C0494471	PREF=localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures nos	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localization-related symptomatic epilepsy and epileptic syndromes with complex partial seizures nos	CUI=C0494472	PREF=localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures nos	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
localizsation-related symptomatic epilepsy and epileptic syndromes with complex partial seizures	CUI=C0494472	PREF=localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
convulsions grand mal	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
generalised tonic clonic seizure	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
generalised tonic clonic seizures	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
generalised tonic-clonic seizures	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
generalized tonic clonic seizure	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
generalized tonic clonic seizures	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
generalized tonic-clonic seizures	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
grand mal	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
grand mal convulsion	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
grand mal convulsion	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
grand mal convulsions	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
grand mal convulsions	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
tonic clonic convulsion	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
tonic clonic convulsion	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
tonic clonic convulsions	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
tonic clonic convulsions	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
tonic clonic seizure	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
tonic clonic seizures	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
tonic/clonic convulsions	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
tonic-clonic convulsion	CUI=C0494475	PREF=Tonic - clonic seizures  	TUI=T047	STY=Disease or Syndrome	
focal sensory seizures	CUI=C0544645	PREF=Focal Sensory Seizure	TUI=T047	STY=Disease or Syndrome	
sensory seizures	CUI=C0544645	PREF=Focal Sensory Seizure	TUI=T047	STY=Disease or Syndrome	
salaam spasm	CUI=C0546878	PREF=salaam spasm	TUI=T047	STY=Disease or Syndrome	
fit (in known epileptic) nos	CUI=C0553754	PREF=fit (in known epileptic) nos	TUI=T047	STY=Disease or Syndrome	
fit (in known epileptic) nos (disorder)	CUI=C0553754	PREF=fit (in known epileptic) nos (disorder)	TUI=T047	STY=Disease or Syndrome	
recurrent febrile convulsion	CUI=C0585108	PREF=recurrent febrile convulsion	TUI=T047	STY=Disease or Syndrome	
recurrent febrile convulsion (finding)	CUI=C0585108	PREF=recurrent febrile convulsion (finding)	TUI=T047	STY=Disease or Syndrome	
recurrent febrile fit	CUI=C0585108	PREF=recurrent febrile fit	TUI=T047	STY=Disease or Syndrome	
rum fits	CUI=C0586323	PREF=rum fits	TUI=T048	STY=Mental or Behavioral Dysfunction	
seizure, alcohol withdrawal	CUI=C0586323	PREF=seizure, alcohol withdrawal	TUI=T048	STY=Mental or Behavioral Dysfunction	
seizure, alcohol withdrawal-induced	CUI=C0586323	PREF=seizure, alcohol withdrawal-induced	TUI=T048	STY=Mental or Behavioral Dysfunction	
seizure, alcoholic	CUI=C0586323	PREF=seizure, alcoholic	TUI=T048	STY=Mental or Behavioral Dysfunction	
seizure, alcohol-related	CUI=C0586323	PREF=seizure, alcohol-related	TUI=T048	STY=Mental or Behavioral Dysfunction	
seizures, alcohol withdrawal	CUI=C0586323	PREF=seizures, alcohol withdrawal	TUI=T048	STY=Mental or Behavioral Dysfunction	
seizures, alcohol withdrawal-induced	CUI=C0586323	PREF=seizures, alcohol withdrawal-induced	TUI=T048	STY=Mental or Behavioral Dysfunction	
seizures, alcoholic	CUI=C0586323	PREF=seizures, alcoholic	TUI=T048	STY=Mental or Behavioral Dysfunction	
seizures, alcohol-related	CUI=C0586323	PREF=seizures, alcohol-related	TUI=T048	STY=Mental or Behavioral Dysfunction	
atypical absence seizure	CUI=C0595948	PREF=Atypical absence seizure	TUI=T047	STY=Disease or Syndrome	
atypical absence seizure (disorder)	CUI=C0595948	PREF=Atypical absence seizure	TUI=T047	STY=Disease or Syndrome	
atypical absence seizures	CUI=C0595948	PREF=Atypical absence seizure	TUI=T047	STY=Disease or Syndrome	
seizures, atypical absence	CUI=C0595948	PREF=Atypical absence seizure	TUI=T047	STY=Disease or Syndrome	
dravet syndrome	CUI=C0751122	PREF=dravet syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
atypical absence epilepsy	CUI=C0751124	PREF=Epilepsy, Absence, Atypical	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
atypical absence epilepsy (disorder)	CUI=C0751124	PREF=Epilepsy, Absence, Atypical	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, absence, atypical	CUI=C0751124	PREF=epilepsy, absence, atypical	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonus, segmental	CUI=C0751351	PREF=myoclonus, segmental	TUI=T184	STY=sign or symptom	
segmental myoclonus (disorder)	CUI=C0751351	PREF=segmental myoclonus (disorder)	TUI=T184	STY=sign or symptom	
myoclonus, nocturnal	CUI=C0751352	PREF=myoclonus, nocturnal	TUI=T184	STY=sign or symptom	
myoclonus, sleep	CUI=C0751352	PREF=myoclonus, sleep	TUI=T184	STY=sign or symptom	
nocturnal myoclonus (disorder)	CUI=C0751352	PREF=nocturnal myoclonus (disorder)	TUI=T184	STY=sign or symptom	
sleep myoclonus	CUI=C0751352	PREF=sleep myoclonus	TUI=T184	STY=sign or symptom	
amaurotic idiocy juvenile type	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
amaurotic idiocy, juvenile type	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
Batten disease, juvenile	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
Batten mayou disease	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
Batten spielmeyer vogt disease	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
Batten-Mayou syndrome	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
Batten-mayou syndrome	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
cerebral lipidosis myoclon var	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
cerebral lipidosis myoclonic variant	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
cerebral lipidosis, myoclonic variant	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
cerebroretinal degeneration, juvenile	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
cerebroretinal degenerations, juvenile	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
ceroid lipofuscinosis, neuronal 3, juvenile	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
ceroid-lipofuscinoses, cln3-related neuronal	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
ceroid-lipofuscinosis, cln3-related neuronal	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
cln3	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
cln3 related neuronal ceroid lipofuscinosis	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
disease, juvenile batten	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
diseases, juvenile batten	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
juvenile batten disease	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
juvenile cerebroretinal degeneration	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
neuronal ceroid lipofuscinosis juvenile type	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
neuronal ceroid-lipofuscinosis, cln3-related	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
spielmeyer sjogren disease	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
spielmeyer vogt disease	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
spielmeyer-vogt type neuronal ceroid lipofuscinosis	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
vogt spielmeyer disease	CUI=C0751383	PREF=Juvenile Neuronal Ceroid Lipofuscinosis	TUI=T047	STY=Disease or Syndrome	
convulsions local	CUI=C0751495	PREF=Seizures, Focal	TUI=T047	STY=Disease or Syndrome	
focal seizure	CUI=C0751495	PREF=Seizures, Focal	TUI=T047	STY=Disease or Syndrome	
focal seizures	CUI=C0751495	PREF=Seizures, Focal	TUI=T047	STY=Disease or Syndrome	
local convulsion	CUI=C0751495	PREF=Seizures, Focal	TUI=T047	STY=Disease or Syndrome	
local seizure	CUI=C0751495	PREF=Seizures, Focal	TUI=T047	STY=Disease or Syndrome	
partial seizure	CUI=C0751495	PREF=Seizures, Focal	TUI=T047	STY=Disease or Syndrome	
partial seizure (finding)	CUI=C0751495	PREF=Seizures, Focal	TUI=T047	STY=Disease or Syndrome	
partial seizure (finding)	CUI=C0751495	PREF=Seizures, Focal	TUI=T047	STY=Disease or Syndrome	
partial seizures	CUI=C0751495	PREF=Seizures, Focal	TUI=T047	STY=Disease or Syndrome	
seizure, focal	CUI=C0751495	PREF=Seizures, Focal	TUI=T047	STY=Disease or Syndrome	
seizure, partial	CUI=C0751495	PREF=Seizures, Focal	TUI=T047	STY=Disease or Syndrome	
seizures, partial, afebrile	CUI=C0751495	PREF=Seizures, Focal	TUI=T047	STY=Disease or Syndrome	
simple partial status epilepticus (disorder)	CUI=C0751524	PREF=Simple Partial Status Epilepticus	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
status epilepticus, simple partial	CUI=C0751524	PREF=Simple Partial Status Epilepticus	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
disease, mitochondrial	CUI=C0751651	PREF=Mitochondrial Diseases	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
disorder, mitochondrial	CUI=C0751651	PREF=Mitochondrial Diseases	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
mitochondrial diseases	CUI=C0751651	PREF=Mitochondrial Diseases	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
mitochondrial disorder	CUI=C0751651	PREF=Mitochondrial Diseases	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
mitochondrial disorders	CUI=C0751651	PREF=Mitochondrial Diseases	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Unverricht-Lundborg syndrome	CUI=C0751785	PREF=Unverricht-Lundborg syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Baltic myoclonus epilepsy	CUI=C0751785	PREF=Unverricht-Lundborg syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Unverricht-Lundborg disease	CUI=C0751785	PREF=Unverricht-Lundborg syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonus, benign neonatal sleep	CUI=C0751946	PREF=Neonatal Sleep Myoclonus, Benign	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Benign neonatal sleep myoclonus	CUI=C0751946	PREF=Neonatal Sleep Myoclonus, Benign	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
focal clonic seizures	CUI=C0752323	PREF=Focal Clonic Seizures	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
focal tonic seizures	CUI=C0752324	PREF=Focal tonic seizures	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
bilateral convulsive seizures	CUI=C0877017	PREF=Generalized tonic-clonic seizures with focal onset	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Generalized tonic-clonic seizures, secondary	CUI=C0877017	PREF=Generalized tonic-clonic seizures with focal onset	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Generalized tonic-clonic seizures, secondary	CUI=C0877017	PREF=Generalized tonic-clonic seizures with focal onset	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
focal to bilateral tonic-clonic seizure	CUI=C0877017	PREF=Generalized tonic-clonic seizures with focal onset	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Secondary generalised tonic clonic seizures	CUI=C0877017	PREF=Generalized tonic-clonic seizures with focal onset	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Secondary generalized tonic clonic seizures	CUI=C0877017	PREF=Generalized tonic-clonic seizures with focal onset	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Partial seizures with secondary generalization	CUI=C0877017	PREF=Generalized tonic-clonic seizures with focal onset	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Generalized tonic-clonic seizures, secondary	CUI=C0877017	PREF=Generalized tonic-clonic seizures with focal onset	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Secondarily generalised tonic-clonic seizures	CUI=C0877017	PREF=Generalized tonic-clonic seizures with focal onset	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
drug refractory epilepsies	CUI=C1096063	PREF= Drug Resistant Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
drug refractory epilepsy	CUI=C1096063	PREF= Drug Resistant Epilepsy	FTUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
drug resistant epilepsies	CUI=C1096063	PREF= Drug Resistant Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
drug resistant epilepsy	CUI=C1096063	PREF= Drug Resistant Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsies, drug refractory	CUI=C1096063	PREF= Drug Resistant Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsies, drug resistant	CUI=C1096063	PREF= Drug Resistant Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
